ActivitySiteID,ActivityDescription,BookingEndDate,BookingStartTime,MaxBookees,Number Booked,Price (INR),Month,Day,Hour,TimeSlot,Occupancy Rate,Revenue
BRP,20:20:20  9.30-10.30am,01-06-18,01-01-00 9:30,35,28,499,June,Friday,9,Morning,80,13972
BRP,20:20:20  9.30-10.30am,08-06-18,01-01-00 9:30,35,35,499,June,Friday,9,Morning,100,17465
BRP,20:20:20  9.30-10.30am,15-06-18,01-01-00 9:30,35,31,499,June,Friday,9,Morning,88.57142857,15469
BRP,20:20:20  9.30-10.30am,22-06-18,01-01-00 9:30,35,32,499,June,Friday,9,Morning,91.42857143,15968
BRP,20:20:20  9.30-10.30am,29-06-18,01-01-00 9:30,35,19,499,June,Friday,9,Morning,54.28571429,9481
BRP,20:20:20  10-11 Am,05-06-18,01-01-00 10:00,35,25,499,June,Tuesday,10,Morning,71.42857143,12475
BRP,20:20:20  10-11 Am,12-06-18,01-01-00 10:00,35,23,499,June,Tuesday,10,Morning,65.71428571,11477
BRP,20:20:20  10-11 Am,19-06-18,01-01-00 10:00,35,21,499,June,Tuesday,10,Morning,60,10479
BRP,20:20:20  10-11 Am,26-06-18,01-01-00 10:00,35,18,499,June,Tuesday,10,Morning,51.42857143,8982
BRP,20:20:20  10.00-11.00am,14-06-18,01-01-00 10:00,35,19,499,June,Thursday,10,Morning,54.28571429,9481
BRP,20:20:20  10.00-11.00am,21-06-18,01-01-00 10:00,35,22,499,June,Thursday,10,Morning,62.85714286,10978
BRP,20:20:20  10.00-11.00am,28-06-18,01-01-00 10:00,35,18,499,June,Thursday,10,Morning,51.42857143,8982
BRP,Aerobics,05-06-18,01-01-00 19:30,35,24,799,June,Tuesday,19,Evening,68.57142857,19176
BRP,Aerobics,12-06-18,01-01-00 19:30,35,25,799,June,Tuesday,19,Evening,71.42857143,19975
BRP,Aerobics,19-06-18,01-01-00 19:30,35,19,799,June,Tuesday,19,Evening,54.28571429,15181
BRP,Aerobics,26-06-18,01-01-00 19:30,35,15,799,June,Tuesday,19,Evening,42.85714286,11985
BRP,Aerobics 6.00-7.00pm,04-06-18,01-01-00 18:00,35,35,799,June,Monday,18,Evening,100,27965
BRP,Aerobics 6.00-7.00pm,11-06-18,01-01-00 18:00,35,32,799,June,Monday,18,Evening,91.42857143,25568
BRP,Aerobics 6.00-7.00pm,18-06-18,01-01-00 18:00,35,31,799,June,Monday,18,Evening,88.57142857,24769
BRP,Aerobics 6.00-7.00pm,25-06-18,01-01-00 18:00,35,24,799,June,Monday,18,Evening,68.57142857,19176
BRP,Aqua Fit 2.45 -3.45pm,06-06-18,01-01-00 14:45,35,16,999,June,Wednesday,14,Afternoon,45.71428571,15984
BRP,Aqua Fit 14.45pm,13-06-18,01-01-00 14:30,35,25,999,June,Wednesday,14,Afternoon,71.42857143,24975
BRP,Aqua Fit 14.45pm,20-06-18,01-01-00 14:30,35,27,999,June,Wednesday,14,Afternoon,77.14285714,26973
BRP,Aqua Fit 14.45pm,27-06-18,01-01-00 14:30,35,18,999,June,Wednesday,14,Afternoon,51.42857143,17982
BRP,Aqua Tots 10 -10.30am,02-06-18,01-01-00 10:00,10,6,1499,June,Saturday,10,Morning,60,8994
BRP,Aqua Tots 10 -10.30am,09-06-18,01-01-00 10:00,10,8,1499,June,Saturday,10,Morning,80,11992
BRP,Aqua Tots 10 -10.30am,16-06-18,01-01-00 10:00,10,10,1499,June,Saturday,10,Morning,100,14990
